Date,Transaction Type,Amount,Current Balance
"06/02/2023, 18:29:02",New Account,200€,200€
"07/02/2023, 18:33:06",Logged in,N/A,200€
"07/02/2023, 18:33:08",Withdraw,200€,0€
"07/02/2023, 18:33:10",Deposit,500€,500€
"07/02/2023, 18:33:23",Deposit,100€,600€
"07/02/2023, 18:39:05",Logged in,N/A,600€
"07/02/2023, 18:39:30",Logged in,N/A,600€
"07/02/2023, 18:39:32",Deposit,100€,700€
"07/02/2023, 18:40:10",Logged in,N/A,700€
"07/02/2023, 18:40:14",Deposit,300€,1000€
"07/02/2023, 18:40:21",Logged in,N/A,1000€
"07/02/2023, 18:41:58",Logged in,N/A,1000€
"07/02/2023, 18:42:05",Deposit,200€,1200€
"07/02/2023, 18:44:04",Logged in,N/A,1200€
"07/02/2023, 18:44:06",Deposit,100€,1300€
"07/02/2023, 18:44:13",Logged in,N/A,1300€
"07/02/2023, 18:44:44",Logged in,N/A,1300€
"07/02/2023, 18:46:30",Logged in,N/A,1300€
"07/02/2023, 18:46:49",Logged in,N/A,1300€
